Name,Category,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
IKEA,Retail,6031,6005,6545,6918,7182,7817,8763,10087,10913,12004,12487,11863,12808,13818,15885,16541,17834,18472,17458,18407
ING,Financial Services,,,,,2864,3177,3474,3880,3768,,,,,,,,,,,
Intel,Technology,39048,34665,30861,31112,33499,35588,32319,30954,31261,30636,32015,35217,39385,37257,34153,35415,36952,39459,43293,40197
J.P. Morgan,Financial Services,,,9693,9120,9782,9455,10205,11433,10773,9550,12314,12437,11471,11456,12456,13749,14227,15749,17567,19044
Jack Daniel's,Alcohol,1480,1583,1580,1612,,,,,,,4036,4319,4352,4642,4884,5161,5193,5332,5641,6347
John Deere,Diversified,,,,,,,,,,,,3651,4221,4865,5124,5208,4815,4783,5375,5883
Johnnie Walker,Alcohol,1541,1649,1654,1724,,,,,,,3557,3842,4301,4745,4842,4540,4317,4405,4731,
Johnson & Johnson,FMCG,,,2509,2706,2952,3040,3193,3445,3582,3847,4155,4072,4378,4777,5194,5533,5790,6041,6231,5720
Kellogg's,FMCG,7357,7005,7191,7438,8029,8306,8776,9341,9710,10428,11041,11372,12068,12987,13442,12637,11711,10972,10634,10419
KFC,Restaurants,,5261,5346,5576,5118,5112,5350,5682,5582,5722,5844,5902,5994,6192,6059,5639,5742,5313,5481,5509
Kia,Automotive,,,,,,,,,,,,,4089,4708,5396,5666,6326,6683,6925,6428
Kleenex,FMCG,5144,5085,5039,5057,4881,4922,4842,4600,4636,4404,4536,4672,4360,4428,4643,4330,,,,
Kodak,Electronics,11822,10801,9671,7826,5231,4979,4406,3874,,,,,,,,,,,,
Kraft,FMCG,,4032,4079,4171,4112,4238,3943,3732,,,,,,,,,,,,
L'Oréal,FMCG,,,5079,5600,5902,6005,6392,7045,7508,7748,7981,8699,8821,9874,10162,10798,10930,10674,11102,11589
Lancôme,FMCG,,,,,,,,,,3235,3403,,,,,,,,,
Land Rover,Automotive,,,,,,,,,,,,,,,4473,5109,5696,6095,6221,5855
LEGO,FMCG,,,,,,,,,,,,,,,,5362,6691,7024,6533,6884
Lenovo,Technology,,,,,,,,,,,,,,,,4114,4045,4004,,
Levi's,Apparel,,3747,3454,3298,2979,2655,2689,,,,,,,,,,,,,
Lexus,Automotive,,,,,,,3070,3354,3588,3158,,,,,,,,,,
LG,Electronics,,,,,,2645,3010,3100,,,,,,,,,,,,
LinkedIn,Media,,,,,,,,,,,,,,,,,,,,4836
Louis Vuitton,Luxury,6887,7053,7054,6708,6602,16077,17606,20321,21602,21120,21860,23172,23577,24893,22552,22250,23998,22919,28152,32223
Marlboro,Tobacco,22110,22053,24151,22183,22128,21189,21350,21282,21300,19010,19961,,,,,,,,,
Marriott,Hospitality,,,,,,,,,3502,,,,,,,,,,,
Mastercard,Financial Services,,,,,,,,,,,,,3896,4206,4758,5551,5736,6350,7545,9430
McDonald's,Restaurants,27859,25289,26375,24699,25001,26014,27501,29398,31049,32275,33578,35593,40062,41992,42254,39809,39381,41533,43417,45362
Mercedes-Benz,Automotive,21104,21728,21010,21371,21331,20006,21795,23568,25577,23867,25179,27445,30097,31904,34338,36711,43490,47829,48601,50832
"Merck & Co., Inc.",Pharmaceuticals,,9672,9138,9407,8811,,,,,,,,,,,,,,,
Merrill Lynch,Financial Services,,15015,11230,10521,11499,12018,13001,14343,11399,,,,,,,,,,,
Microsoft,Technology,70196,65068,64091,65174,61372,59941,56926,58709,59007,56647,60895,59087,57853,59546,61154,67670,72795,79999,92715,108847
MINI,Automotive,,,,,,,,,,,,,,,,4243,4986,5114,5254,5532
Mobil,Energy,,2415,2358,2407,2492,,,,,,,,,,,,,,,
Moët & Chandon,Alcohol,2799,2470,2445,2524,2861,2991,3257,3739,3951,3754,4021,4383,3824,3943,,4131,4118,4006,,
Morgan Stanley,Financial Services,,,11205,10691,11498,9777,9762,10340,8696,6399,6911,6634,7218,5724,6334,7083,7200,8205,8802,8185
Motorola,Electronics,4445,3761,3416,3103,3483,3877,4569,4149,3721,,,,,,,,,,,
MTV,Media,6411,6599,6078,6278,6456,6647,6627,6907,7193,6523,6719,6383,5648,4980,5102,4763,4320,,,
NESCAFÉ,Beverages,13680,13250,12843,12336,11892,12241,12507,12950,13056,13317,12753,12115,11089,10651,11406,12257,12517,12661,13053,13605
Nestlé,FMCG,,,4430,4460,4529,4744,4932,5314,5592,6319,6548,6613,6916,7527,8000,8588,8708,8728,8938,9534
Netflix,Media,,,,,,,,,,,,,,,,,,5592,8111,8963
Nike,Sporting Goods,8015,7589,7724,8167,9260,10114,10897,12003,12672,13179,13706,14528,15126,17085,19875,23070,25034,27021,30120,32376
Nintendo,Electronics,,9460,9219,8190,6479,6470,6559,7730,8772,9210,8990,7731,7082,6086,4103,,,,4696,5550
Nissan,Automotive,,,,2495,2833,3203,3108,3072,,,,3819,4969,6203,7623,9082,11066,11534,12213,11502
Nivea,FMCG,,1782,2059,2221,2409,2576,2692,3116,3401,3557,3734,3883,,,,,,,,
Nokia,Technology,38528,35035,29970,29440,24041,26452,30131,33696,35942,34864,29495,25071,21009,7444,4138,,,,,
Novartis,Pharmaceuticals,,,,,,7746,7880,,,,,,,,,,,,,
Oracle,Business Services,,12224,11510,11263,10935,10887,11459,12448,13831,13699,14881,17262,22126,24088,25980,27283,26552,27466,26133,26288
Pampers,FMCG,1400,1410,,,,,,,,,,,11296,13035,14078,15267,16134,16416,16617,15773
Panasonic,Electronics,3734,3490,3141,3257,3480,3714,3977,4135,4281,4225,4351,5047,5765,5821,6303,6436,6365,5983,6293,6189
PayPal,Financial Services,,,,,,,,,,,,,,,,4251,4839,5408,6621,7604
Pepsi,Beverages,6636,6214,6394,11777,12066,12399,12690,12888,13249,13706,14061,14590,16594,17892,19119,19622,20265,20491,20798,20488
Pfizer,Pharmaceuticals,,8951,9770,10455,10635,9981,9591,,,,,,,,,,,,,
Philips,Electronics,5481,4900,4561,4464,4378,5901,6730,7741,8325,8121,8696,8658,9066,9813,10264,9400,11336,11519,12104,11661
Pizza Hut,Restaurants,,5978,6046,5312,5050,4963,4694,4254,4097,3876,3973,4092,4193,4269,4196,,,,,
Porsche,Automotive,,,,,3646,3777,3927,4235,4603,4234,4404,4580,5149,6471,7171,8055,9537,10129,10707,11652
Prada,Luxury,,,2489,2535,2568,2760,2874,3286,3585,3530,,,4271,5570,5977,6222,5504,4716,4812,4781
Puma,Sporting Goods,,,,,,,,,,3154,,,,,,,,,,
Ralph Lauren,Apparel,1834,1910,1928,2048,2147,,,3046,,3094,,,4038,4584,4979,4629,4092,,,
Reuters,Media,4876,5236,4611,3300,3691,3866,3961,4197,,,,,,,,,,,,
Rolex,Luxury,3561,3701,3686,3673,3720,3906,4237,4589,4956,4609,,,,,,,,,,
Salesforce.com,Business Services,,,,,,,,,,,,,,,,,,5224,6432,8004
Samsung,Technology,5223,6374,8310,10846,12553,14956,16169,16853,17689,17518,19491,23430,32893,39610,45462,45297,51808,56249,59890,61098
SAP,Business Services,6135,6307,6775,7714,8323,9006,10007,10850,12228,12106,12756,14542,15641,16676,17340,18768,21293,22635,22885,25092
Shell,Energy,2786,2844,2810,2983,2985,3048,3173,3331,3471,3228,4003,4483,4788,5535,6288,5530,4599,4823,5276,5105
Siemens,Diversified,,1029,,,7470,7507,7828,7737,7943,7308,7315,7900,7534,8503,8672,8553,9415,9982,10132,10259
Smirnoff,Alcohol,2443,2594,2723,2806,2975,3097,3032,3379,3590,3698,3624,3841,4050,4262,4609,4407,4252,4288,,
Sony,Electronics,16409,15005,13899,13153,12759,10754,11695,12907,13583,11953,11356,9880,9111,8408,8133,7702,8315,8474,9316,10514
Spotify,Media,,,,,,,,,,,,,,,,,,,5176,5516
Sprite,Beverages,,,,,,,,,,,5777,5604,5709,5811,5646,5365,5148,4842,4733,
Starbucks,Restaurants,1329,1757,1961,2136,2400,2576,3099,3631,3879,3263,3339,3663,4062,4399,5382,6266,7490,8704,9615,11798
Subaru,Automotive,,,,,,,,,,,,,,,,,,,4214,
Sun Microsystems,Business Services,,5149,4773,4465,,,,,,,,,,,,,,,,
Swatch,FMCG,,1004,,,,,,,,,,,,,,,,,,
Tesla,Automotive,,,,,,,,,,,,,,,,,4011,4009,,
Texas Instruments,Technology,,4041,,,,,,,,,,,,,,,,,,
Thomson Reuters,Media,,,,,,,,,8313,8434,8976,9515,8444,8103,7472,6583,6830,7100,,
Tiffany & Co.,Luxury,,3483,3482,3540,3638,3618,3819,4003,4208,4000,4127,4498,5159,5440,5936,6306,5761,5394,5642,5335
Time,Media,,3724,3682,3784,3651,,,,,,,,,,,,,,,
Toyota,Automotive,18823,18578,19448,20784,22673,24837,27941,32070,34050,31330,26192,27764,30280,35346,42392,49048,53580,50291,53404,56246
Uber,Technology,,,,,,,,,,,,,,,,,,,,5714
UBS,Financial Services,,,,,6526,7565,8734,9838,8740,4370,3812,3799,,,,,,,,
UPS,Logistics,,,,,,9923,10712,12013,12621,11594,11826,12536,13088,13763,14470,14723,15333,16387,16849,18072
Visa,Financial Services,,,,,,,,,3338,3170,3998,4478,4944,5465,5998,6870,7747,7815,9021,10756
Volkswagen,Automotive,7834,7338,7209,6938,6410,5617,6032,6511,7047,6484,6892,7857,9252,11120,13716,12545,11436,11522,12201,12921
Wall Street Journal,Media,2184,2184,1961,1763,,,,,,,,,,,,,,,,
Wrigley,FMCG,4324,4530,4747,5057,5424,5543,5449,5777,6105,6731,,,,,,,,,,
Xerox,Business Services,9699,6019,5308,5578,5696,5705,5918,6050,6393,6431,6109,6414,6714,6779,6641,6033,5290,,,
Yahoo!,Media,6299,4378,3855,3895,4545,5256,6056,6067,5496,5111,4958,4413,3851,,,,,,,
Zara,Apparel,,,,,,3730,4235,5165,5955,6789,7468,8065,9488,10821,12126,14031,16766,18573,17712,17175
ZURICH,Financial Services,,,,,,,,,,,3496,3769,,,,,,,,
