Country,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
Norway,3581239,3723168,3875763,4007313,4085620,4152516,4241473,4359184,4490967,4623291,4889252,5188607,5379475
Oman,536553,593808,670693,787194,1017462,1353289,1804524,2172672,2344253,2515192,2881914,4191776,4543399
Pakistan,45954226,51841626,59290872,68126999,80624057,97121552,115414069,133117476,154369924,174372098,194454498,210969298,227196741
Palestine,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,1126989,1310556,1516188,1734876,1956987,2197065,2449968,2716067,3001731,3305868,3623617,3957099,4294396
Papua New Guinea,1985666,2222178,2489059,2794462,3104788,3447579,3864972,4616439,5508297,6498818,7583269,8682174,9749640
Paraguay,1894829,2143153,2408787,2714664,3078912,3535498,4059195,4603917,5123819,5476878,5768613,6177950,6618695
Peru,10172207,11781581,13562371,15441497,17492406,19746610,22109099,24449055,26654439,28147267,29229572,30711863,33304756
Philippines,28486871,32805538,37435586,42394433,48419546,54812660,61558898,69250468,77958223,86261250,94636700,103031365,112190977
Pitcairn Is.,905537,1046929,1180979,1305437,1454737,1625232,1776243,1892547,2035672,2172802,2301401,2431426,2566819
Poland,29637450,31444950,32664300,34015199,35574150,37201885,38110782,38594998,38258629,38165445,38042794,37986412,37899070
Portugal,8857716,8998595,8680431,9093470,9766312,10023613,9983218,10026176,10289898,10503330,10573100,10358076,10297081
Puerto Rico,2358000,2594000,2718000,2994000,3206000,3377000,3537000,3683103,3810605,3821362,3721525,3473232,3281538
Qatar,36385,64843,118007,195043,277450,365868,441675,515133,645937,848710,1713504,2414573,2760385
Reunion Islands,9446,10563,11366,12607,12252,13644,15293,17209,19726,19831,18540,17794,17972
Romania,18406905,19031576,20250398,21293583,22207282,22732999,23201835,22684270,22442971,21319685,20246871,19815616,19265250
Russia,119897000,126745000,130404000,134200000,139010000,143858000,147969407,148375787,146596869,143518814,142849468,144096870,144073139
Rwanda,2966162,3348631,3896367,4515756,5247532,6266752,7319962,5686897,8109989,9026299,10309031,11642959,13146362
Sahara,227948869,258078554,293900563,336832917,388793467,448755435,516629688,589328085,671212486,766978666,879797419,1008698525,1151301807
São Tomé and Principe,68038,71730,77583,86037,97210,106607,120343,133077,143714,161680,182138,201124,218641
Saudi Arabia,4165563,4978922,6106191,7897544,10171710,12890245,16004763,18888857,21547390,24397644,29411929,32749848,35997107
Senegal,3273177,3770874,4367744,5047922,5703869,6520705,7536001,8632681,9704287,10974057,12530121,14356181,16436120
Serbia,6608000,6794000,6972000,7163000,7362000,7504000,7586000,7625357,7516346,7440769,7291436,7095383,6899126
Seychelles,41700,47500,53600,59292,63261,65244,69507,75304,81131,82858,89770,93419,98462
Sierra Leone,2301310,2520576,2778557,3055916,3367477,3749419,4325388,4324149,4584067,5683334,6436698,7314773,8233970
Singapore,1646400,1886900,2074507,2262600,2413945,2735957,3047132,3524506,4027887,4265762,5076732,5535002,5685807
Sint Maarten,2646,4161,6260,8906,12243,19064,27845,31596,30519,33011,34056,38825,42310
Slovakia,4068095,4370983,4538223,4739105,4979815,5161768,5299187,5361999,5388720,5372807,5391428,5423801,5458827
Slovenia,1584720,1649160,1724891,1793581,1901315,1941641,1998161,1989872,1988925,2000474,2048583,2063531,2102419
Solomon Is.,133440,151495,172833,197853,233668,277158,324171,375189,429978,482486,540394,612660,691191
Somalia,2870732,3267593,3720977,4228289,5892224,6630637,6999096,7210930,8721465,10467292,12026649,13763906,16537016
South Africa,16520441,19187194,22368306,25777964,29463549,33752964,39877570,43986084,46813266,49017147,51784921,55876504,58801927
South Korea,25012374,28704674,32240827,35280725,38123775,40805744,42869283,45092991,47008111,48184561,49554112,51014947,51836239
South Sudan,2907724,3143622,3342410,3718279,4192012,4706975,4750817,5302042,6114440,7662654,9714419,11194299,10606227
Spain,30455000,31954292,33814531,35757900,37491165,38469512,38867322,39724050,40567864,43653155,46576897,46444832,47365655
Sri Lanka,9874476,11110825,12485736,13755141,15035840,16176282,17325769,18242917,18777606,19544988,20261738,20970000,21919000
St. Kitts and Nevis,56660,52016,44968,43888,43097,42144,40636,42550,45461,46725,47403,47790,47642
St. Lucia,91614,97024,103090,111497,121633,132751,142301,152348,159500,165386,170935,175623,179237
St. Vincent and the Grenadines,84141,91495,98459,103879,107480,110906,112487,114174,113813,112043,109308,106482,104632
Sudan,8326462,9712785,11305206,13497543,16673586,19517196,21090886,23290602,26298773,29540577,33739933,38171178,44440486
Suriname,268396,321069,379918,392137,375112,387171,412756,434490,478998,516220,546080,575475,607065
Swaziland,345065,388317,442865,509535,598564,702400,854011,953573,1030496,1071886,1099920,1133936,1180655
Sweden,7484656,7733853,8042801,8192437,8310531,8350386,8558835,8826939,8872109,9029572,9378126,9799186,10353442
Switzerland,5327827,5856472,6180877,6338632,6319408,6470365,6715519,7040687,7184250,7437115,7824909,8282396,8638167
Syria,4610712,5368451,6319199,7497126,8898954,10540926,12408996,14313450,16307654,18583557,22337563,19205178,20772595
Taiwan,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,2131992,2538295,2993019,3482125,4045965,4660598,5417860,5916173,6272998,6929145,7621779,8524063,9543207
Tanzania,10042458,11630603,13618192,16243826,19297659,22569625,26206012,30560071,34463704,39439505,45110527,52542823,61704518
Thailand,26596584,30940270,35791728,40908471,45737753,50594940,55228410,59424834,63066603,65821360,68270489,70294397,71475664
Timor-Leste,468573,507477,554021,600126,642224,682109,758106,819226,878360,969313,1088486,1205813,1299995
Togo,1651367,1820396,2197383,2509713,2838110,3336508,3875947,4279566,5008035,5711597,6571855,7473229,8442580
Tonga,67428,77686,86484,93477,96708,97055,98727,99977,102603,105633,107383,106122,105254
Trinidad and Tobago,847063,928462,988890,1054017,1127852,1199785,1266518,1307822,1332203,1369075,1410296,1460177,1518147
Tunisia,4195467,4457282,5047404,5769074,6578156,7476092,8440023,9294102,9893316,10388344,10895063,11557779,12161723
Turkey,27510980,31374536,35540990,39673590,44089069,49175673,54324142,59305490,64113547,68704715,73195345,79646178,84135428
